2019-05-14 22:54:27 | DEBUG | Base_Logging | conditional_write | Unable to get product id on Style Element in top wear page
2019-05-14 22:54:27 | DEBUG | Base_Logging | conditional_write | Unable to find client id in top wear page
2019-05-14 22:54:31 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:54:32 | INFO | Base_Logging | log_result | PASS: Verified the products names coming in the request are correctly populated in the carousel
2019-05-14 22:54:32 | INFO | Base_Logging | ui_top_wear_page | Script duration: 39 seconds

2019-05-14 22:54:32 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:54:32 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:54:32 | INFO | Base_Logging | ui_top_wear_page | Script duration: 39 seconds

2019-05-14 22:54:32 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:54:33 | INFO | Base_Logging | log_result | PASS: Verified the products links coming in the request are correctly populated in the carousel
2019-05-14 22:54:33 | INFO | Base_Logging | ui_top_wear_page | Script duration: 40 seconds

2019-05-14 22:54:38 | DEBUG | Base_Logging | conditional_write | Found links in top wear page - carousel
2019-05-14 22:54:41 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:54:41 | INFO | Base_Logging | log_result | PASS: Verified the products Names coming in the request are correctly populated in the carousel
2019-05-14 22:54:41 | INFO | Base_Logging | ui_top_wear_page | Script duration: 48 seconds

2019-05-14 22:54:41 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:54:42 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:54:42 | INFO | Base_Logging | ui_top_wear_page | Script duration: 49 seconds

2019-05-14 22:54:42 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:54:42 | INFO | Base_Logging | log_result | PASS: Verified the product's link coming in the request are correctly populated in the carousel
2019-05-14 22:54:42 | INFO | Base_Logging | ui_top_wear_page | Script duration: 49 seconds

2019-05-14 22:54:47 | DEBUG | Base_Logging | conditional_write | Clicked on productlinks in top wear page - carousel
2019-05-14 22:54:47 | DEBUG | Base_Logging | conditional_write | Automation switched to the browser window: None
2019-05-14 22:54:48 | INFO | Base_Logging | log_result | PASS: Verified after clicking on the recommended product populated in the carousel
2019-05-14 22:54:48 | INFO | Base_Logging | ui_top_wear_page | Script duration: 55 seconds

2019-05-14 22:54:49 | INFO | Base_Logging | write_test_summary | 

************************
--------RESULT--------
Total number of checks=12
2019-05-14 22:54:49 | INFO | Base_Logging | write_test_summary | Total number of checks passed=12
----------------------
************************


2019-05-14 22:54:49 | INFO | Base_Logging | write_test_summary | Total number of mini-checks=14
2019-05-14 22:54:49 | INFO | Base_Logging | write_test_summary | Total number of mini-checks passed=5
2019-05-14 22:54:49 | INFO | Base_Logging | write_test_summary | ************************
2019-05-14 23:20:23 | INFO | Base_Logging | conditional_write | Could not locate the element xpath,//div[@data-msd-module-id]/img even after 15.0 seconds
2019-05-14 23:20:28 | DEBUG | Base_Logging | conditional_write | Style Element is NOT present in the top wear page
2019-05-14 23:20:28 | INFO | Base_Logging | log_result | FAIL: Failed - Style Element is NOT present in the top wear page 
On url: https://madstreetden.myshopify.com/collections/top-wear

2019-05-14 23:20:28 | INFO | Base_Logging | ui_top_wear_page | Script duration: 27 seconds

2019-05-14 23:20:35 | INFO | Base_Logging | conditional_write | Could not locate the element xpath,//div[@data-msd-module-id]/img even after 5.0 seconds
2019-05-14 23:20:44 | DEBUG | Base_Logging | conditional_write | Unable to click on Style Element in top wear page
2019-05-14 23:21:16 | INFO | Base_Logging | conditional_write | Could not locate the element xpath,//div[@data-msd-module-id]/img even after 15.0 seconds
2019-05-14 23:21:16 | DEBUG | Base_Logging | conditional_write | Style Element is NOT present in the top wear page
2019-05-14 23:22:35 | INFO | Base_Logging | conditional_write | Could not locate the element xpath,//div[@data-msd-module-id]/img even after 15.0 seconds
2019-05-14 23:22:40 | DEBUG | Base_Logging | conditional_write | Style Element is NOT present in the top wear page
2019-05-14 23:22:41 | INFO | Base_Logging | log_result | FAIL: Failed - Style Element is NOT present in the top wear page 
On url: https://madstreetden.myshopify.com/collections/top-wear

2019-05-14 23:22:41 | INFO | Base_Logging | ui_top_wear_page | Script duration: 27 seconds

2019-05-14 23:22:47 | INFO | Base_Logging | conditional_write | Could not locate the element xpath,//div[@data-msd-module-id]/img even after 5.0 seconds
2019-05-14 23:22:54 | DEBUG | Base_Logging | get_element | Remote end closed connection without response
2019-05-14 23:22:54 | INFO | Base_Logging | get_element | Check your locator-'xpath,//div[@data-msd-module-id]/img' in the conf/locators.conf file
2019-05-14 23:22:54 | DEBUG | Base_Logging | conditional_write | Unable to click on Style Element in top wear page
2019-05-14 23:32:22 | DEBUG | Base_Logging | conditional_write | Verified Style Element is present in the top wear page
2019-05-14 23:32:22 | INFO | Base_Logging | log_result | PASS: Verified Style Element is present in the top wear page
2019-05-14 23:32:22 | INFO | Base_Logging | ui_top_wear_page | Script duration: 18 seconds

2019-05-14 23:32:32 | DEBUG | Base_Logging | conditional_write | Clicked on Style Element in top wear page
